loss,val_loss,learning_rate
837.4168090820312,469.6836853027344,0.0010000000474974513
531.7000122070312,473.2022399902344,0.0010000000474974513
527.539794921875,477.76434326171875,0.0010000000474974513
509.36529541015625,475.39910888671875,0.0010000000474974513
480.7725830078125,453.32037353515625,0.0005000000237487257
486.3035888671875,448.9024963378906,0.0005000000237487257
473.8298034667969,438.46337890625,0.0005000000237487257
456.3086853027344,467.711181640625,0.0005000000237487257
457.07427978515625,443.0309143066406,0.0005000000237487257
457.86871337890625,443.2652893066406,0.0005000000237487257
457.8462219238281,434.2632141113281,0.0002500000118743628
464.62457275390625,432.2469787597656,0.0002500000118743628
449.1645812988281,430.4783935546875,0.0002500000118743628
439.2897033691406,432.343505859375,0.0002500000118743628
439.5521240234375,429.7538757324219,0.0002500000118743628
446.7606506347656,441.26373291015625,0.0002500000118743628
442.3707580566406,432.2174987792969,0.0002500000118743628
439.45965576171875,446.7177734375,0.0002500000118743628
427.63873291015625,433.3559875488281,0.0001250000059371814
430.6901550292969,439.6844787597656,0.0001250000059371814
