Feature,Importance
last_updated_epoch,2794
latitude,1351
humidity,1259
longitude,1098
visibility_km,841
temperature_celsius,838
feels_like_celsius,765
pressure_mb,744
wind_degree,624
wind_kph,620
gust_kph,616
air_quality_PM10,567
air_quality_Ozone,501
air_quality_PM2.5,446
precip_mm,437
air_quality_Carbon_Monoxide,422
air_quality_Sulphur_dioxide,360
air_quality_Nitrogen_dioxide,327
wind_direction,301
uv_index,66
air_quality_gb-defra-index,14
air_quality_us-epa-index,9
