Feature,Importance
precip_mm,0.48990949565175873
humidity,0.12991866520095252
last_updated_epoch,0.07730114862468813
visibility_km,0.05186636556408975
latitude,0.03215020926464061
feels_like_celsius,0.022670370890590687
longitude,0.022297364329816563
air_quality_PM10,0.021228105833543412
wind_degree,0.017507465389309276
temperature_celsius,0.0163092867079936
wind_kph,0.014984612805560214
air_quality_PM2.5,0.014823205934372492
air_quality_Ozone,0.014412429343852114
pressure_mb,0.01422409203693187
gust_kph,0.014033896404862013
air_quality_Sulphur_dioxide,0.012225247068613426
air_quality_Carbon_Monoxide,0.011626424926908623
air_quality_Nitrogen_dioxide,0.010932011630242896
wind_direction,0.008113139941300408
air_quality_us-epa-index,0.0019529435098295383
air_quality_gb-defra-index,0.0010111390085190662
uv_index,0.0005023799316241167
