iter	RMSE
159	15.83154067
160	15.82211973
161	15.81866531
162	15.80499088
163	15.79994515
164	15.79012305
165	15.78498357
166	15.77718823
167	15.7718963
168	15.76930857
169	15.76109161
170	15.75388094
171	15.74649428
172	15.73881025
173	15.7321549
174	15.72631751
175	15.71865595
176	15.71122703
177	15.70844508
178	15.70183756
179	15.69000636
180	15.68361472
181	15.67697636
182	15.67184268
183	15.66199524
184	15.65275659
185	15.63877668
186	15.63230114
187	15.62594155
188	15.61411043
189	15.61027509
190	15.6049952
191	15.59788369
192	15.59054986
193	15.58688407
194	15.58039486
195	15.57417647
196	15.56727664
197	15.56065647
198	15.55216059
199	15.54154374
200	15.5334387
201	15.52853903
202	15.52299002
203	15.51286323
204	15.50815679
205	15.50632428
206	15.50245187
207	15.49861359
208	15.49481404
209	15.48773802
210	15.48219094
211	15.47912278
212	15.4718738
213	15.46065415
214	15.4577428
215	15.45296083
216	15.44604959
217	15.44192439
218	15.43527748
219	15.42533315
220	15.41838516
221	15.41327663
222	15.40848135
223	15.40218627
224	15.39784011
225	15.39244919
226	15.38732335
227	15.38298872
228	15.37802997
229	15.37092553
230	15.36657669
231	15.36037808
232	15.35736925
233	15.35060457
234	15.34582877
235	15.34012394
236	15.33531765
237	15.32816899
238	15.3234131
239	15.31568167
240	15.31010837
241	15.30733769
242	15.29574295
243	15.28918138
244	15.28135602
245	15.27644614
246	15.27049842
247	15.26639319
248	15.2611648
249	15.25612402
250	15.25202144
251	15.24861248
252	15.24282448
253	15.23149681
254	15.2239307
255	15.21847272
256	15.21133645
257	15.20287421
258	15.19505732
259	15.18916074
260	15.18322609
261	15.1773227
262	15.17087445
263	15.16607
264	15.15905227
265	15.15378329
266	15.14835011
267	15.14320741
268	15.13923288
269	15.13307826
270	15.12676529
271	15.12131362
272	15.11693519
273	15.11115658
274	15.10693114
275	15.1020913
276	15.09542181
277	15.08677648
278	15.08272667
279	15.07922594
280	15.07432454
281	15.06848625
282	15.06401182
283	15.0596511
284	15.05373318
285	15.05086196
286	15.0446533
287	15.04102757
288	15.03555512
289	15.02807507
290	15.02392909
291	15.02056133
292	15.01305385
293	15.01018205
294	15.0013894
295	14.99353554
296	14.98573793
297	14.97911204
298	14.97253434
299	14.96309207
300	14.95461862
301	14.95034498
302	14.945069
303	14.94138314
304	14.93730291
305	14.93160065
306	14.92700845
307	14.91997316
308	14.91661274
309	14.91021281
310	14.90086092
311	14.89665908
312	14.89167624
313	14.88379222
314	14.87720963
315	14.87341295
316	14.8689512
317	14.86212873
318	14.8587253
319	14.85329017
320	14.84662501
321	14.84104836
322	14.83552433
323	14.82978529
324	14.825902
325	14.82132166
326	14.81741623
327	14.81276476
328	14.80470789
329	14.79949113
330	14.79573486
331	14.79036224
332	14.78765285
333	14.78059573
334	14.77592559
335	14.77147032
336	14.76674466
337	14.76331492
338	14.75723104
339	14.7525139
340	14.74952088
341	14.74668411
342	14.74323511
343	14.73805938
344	14.73306626
345	14.72554818
346	14.72144094
347	14.71620521
348	14.70953015
349	14.70488869
350	14.69998774
351	14.69769805
352	14.69298968
353	14.68765571
354	14.6836799
355	14.67964318
356	14.67537816
357	14.66971985
358	14.66431057
359	14.65971359
360	14.65474956
361	14.64855374
362	14.64568862
363	14.64014389
364	14.63704486
365	14.63093775
366	14.62571373
367	14.62264359
368	14.61662688
369	14.61377274
370	14.60956653
371	14.60479548
372	14.60208387
373	14.5957963
374	14.58955265
375	14.58466966
376	14.58012018
377	14.57670555
378	14.57450883
379	14.57039221
380	14.56618178
381	14.56194518
382	14.55970592
383	14.55476337
384	14.55086692
385	14.54536632
386	14.54241162
387	14.53714862
388	14.53102244
389	14.52665162
390	14.52164127
391	14.51826756
392	14.51405473
393	14.50782829
394	14.50126013
395	14.49655387
396	14.49304994
397	14.48688992
398	14.48380633
399	14.48131842
400	14.47729965
401	14.47117279
402	14.46851996
403	14.46549977
404	14.46157037
405	14.45894908
406	14.45301623
407	14.44960001
408	14.44528519
409	14.44126876
410	14.43671644
411	14.43142352
412	14.42805301
413	14.42461597
414	14.42269297
415	14.41735277
416	14.41158054
417	14.40918671
418	14.40580198
419	14.40203166
420	14.39659439
421	14.39225856
422	14.38842448
423	14.38292451
424	14.37981236
425	14.37669055
426	14.37310137
427	14.36919422
428	14.36544531
429	14.36120709
430	14.35957272
431	14.3567307
432	14.35381632
433	14.35105995
434	14.34760531
435	14.34331322
436	14.34229209
437	14.33943519
438	14.33683315
439	14.33329206
440	14.3307196
441	14.32703006
442	14.32461751
443	14.32168913
444	14.31951245
445	14.31640846
446	14.31366742
447	14.31018213
448	14.30740285
449	14.3049814
450	14.30270352
451	14.299071
452	14.29524631
453	14.29294663
454	14.2882056
455	14.27986227
456	14.27357176
457	14.27161441
458	14.26713692
459	14.2646808
460	14.26074522
461	14.25760784
462	14.25465174
463	14.25169317
464	14.2474541
465	14.24425894
466	14.24105256
467	14.23830716
468	14.23528778
469	14.23156334
470	14.22683486
471	14.22455575
472	14.22202041
473	14.21910873
474	14.21647371
475	14.21076974
476	14.20791318
477	14.20491173
478	14.19931728
479	14.19487436
480	14.19102211
481	14.18810804
482	14.1861106
483	14.17864633
484	14.17426511
485	14.17045894
486	14.16740085
487	14.16289445
488	14.16033743
489	14.15759289
490	14.15271444
491	14.149215
492	14.14469721
493	14.14136014
494	14.13744209
495	14.13254714
496	14.12928535
497	14.12442994
498	14.11939412
499	14.11574138
500	14.11335891
501	14.1096881
502	14.10538822
503	14.10242487
504	14.09933297
505	14.09329394
506	14.08944146
507	14.08701503
508	14.08262077
509	14.08026228
510	14.07820625
511	14.07614623
512	14.07303279
513	14.06957393
514	14.06668417
515	14.06340657
516	14.06057
517	14.05791452
518	14.05395457
519	14.05066043
520	14.04772266
521	14.04287524
522	14.03930406
523	14.03550167
524	14.03257724
525	14.0294836
526	14.02551518
527	14.02140364
528	14.01920372
529	14.0163115
530	14.01350309
531	14.00892508
532	14.00623356
533	14.00129347
534	13.99848082
535	13.99620922
536	13.99455887
537	13.99026425
538	13.98696065
539	13.9843396
540	13.9812136
541	13.97764056
542	13.97530818
543	13.97307208
544	13.97060396
545	13.96651329
546	13.96429044
547	13.96081832
548	13.95757906
549	13.9525391
550	13.94801909
551	13.94457001
552	13.94115959
553	13.93927957
554	13.93670403
555	13.93215679
556	13.92769976
557	13.92244532
558	13.92001318
559	13.91625875
560	13.9123398
561	13.90987449
562	13.90614401
563	13.90377343
564	13.90003172
565	13.89759461
566	13.89555957
567	13.89110603
568	13.88696643
569	13.88443624
570	13.88232415
571	13.87982039
572	13.8761837
573	13.87356933
574	13.87088258
575	13.8678516
576	13.86537696
577	13.86301323
578	13.85905229
579	13.85585347
580	13.85294717
581	13.85038184
582	13.84808102
583	13.84581091
584	13.84285244
585	13.83902203
586	13.83659022
587	13.83214967
588	13.8289189
589	13.82667568
590	13.82258628
591	13.8193024
592	13.8168514
593	13.81341114
594	13.81071061
595	13.80704502
596	13.80454245
597	13.80105774
598	13.79893388
599	13.79507421
600	13.79222556
601	13.78995535
602	13.78632181
603	13.78413523
604	13.77942435
605	13.77498023
606	13.77190199
607	13.76998706
608	13.76332748
609	13.75961844
610	13.7577769
611	13.75552154
612	13.7524688
613	13.749284
614	13.74622133
615	13.7426881
616	13.74119238
617	13.73836473
618	13.73526379
619	13.7334602
620	13.7315781
621	13.729989
622	13.72770366
623	13.72519622
624	13.7217033
625	13.72003501
626	13.71731976
627	13.71544828
628	13.71384905
629	13.71119806
630	13.70897107
631	13.70468904
632	13.70354181
633	13.70054034
634	13.69710076
635	13.6949775
636	13.69242978
637	13.68926573
638	13.68720408
639	13.68485952
640	13.68186773
641	13.6788624
642	13.67595008
643	13.674336
644	13.66983168
645	13.6677655
646	13.66578795
647	13.66384473
648	13.66099481
649	13.6595619
650	13.65680625
651	13.65356999
652	13.65129708
653	13.64940114
654	13.64756501
655	13.64390543
656	13.6421884
657	13.63851417
658	13.63626312
659	13.63053648
660	13.62714577
661	13.62537397
662	13.62305019
663	13.61960477
664	13.61618536
665	13.61429603
666	13.61267044
667	13.61004341
668	13.6083527
669	13.60698008
670	13.60613743
671	13.60406002
672	13.60202472
673	13.59915065
674	13.59670458
675	13.59473883
676	13.5913118
677	13.58887283
678	13.58746655
679	13.58426657
680	13.58158021
681	13.57781156
682	13.57468885
683	13.57207072
684	13.56875563
685	13.56590924
686	13.56488104
687	13.56272335
688	13.56081784
689	13.55914416
690	13.55455223
691	13.55108233
692	13.54852771
693	13.546118
694	13.54407167
695	13.53921387
696	13.53736103
697	13.53589663
698	13.53310502
699	13.53178501
700	13.53007856
701	13.52417403
702	13.52018668
703	13.51713495
704	13.51383428
705	13.51025685
706	13.50773167
707	13.50323358
708	13.50230048
709	13.50079134
710	13.49939263
711	13.4981098
712	13.49363078
713	13.48949605
714	13.48618769
715	13.48364878
716	13.48147311
717	13.47839047
718	13.47674013
719	13.4743527
720	13.47190021
721	13.46806202
722	13.46558445
723	13.46307769
724	13.46138469
725	13.45820844
726	13.45717143
727	13.45606003
728	13.45442949
729	13.4513616
730	13.44823669
731	13.44588821
732	13.44385672
733	13.44229647
734	13.44082602
735	13.43897247
736	13.43732315
737	13.43486895
738	13.43250153
739	13.43020048
740	13.42751483
741	13.42223713
742	13.4198992
743	13.41734792
744	13.4153035
745	13.41334174
746	13.41025498
747	13.40777876
748	13.40491899
749	13.40350309
750	13.40069248
751	13.39756177
752	13.39523137
753	13.39329485
754	13.38969995
755	13.38808612
756	13.38605405
757	13.38406985
758	13.38125037
759	13.37918702
760	13.37753712
761	13.37570861
762	13.37229003
763	13.37002103
764	13.36745932
765	13.36377086
766	13.36195738
767	13.35923046
768	13.35773034
769	13.35505421
770	13.35114574
771	13.34576941
772	13.34332376
773	13.34098993
774	13.3388403
775	13.3351021
776	13.33329375
777	13.32859756
778	13.32520592
779	13.3230005
780	13.31930697
781	13.31671816
782	13.31535363
783	13.31367029
784	13.31208477
785	13.3102339
786	13.30787493
787	13.30583326
788	13.30370567
789	13.30073636
790	13.29907911
791	13.29699137
792	13.29592859
793	13.29391556
794	13.2917593
795	13.28947843
796	13.28630761
797	13.28440355
798	13.28034356
799	13.27718314
800	13.2745884
801	13.27110762
802	13.26921691
803	13.2655868
804	13.2634625
805	13.26088684
806	13.25799761
807	13.25568201
808	13.25414928
809	13.25143134
810	13.24878212
811	13.24555486
812	13.24437803
813	13.24284827
814	13.24071248
815	13.23826034
816	13.23632793
817	13.23447345
818	13.23056703
819	13.22911109
820	13.22755425
821	13.22535878
822	13.22322169
823	13.2216082
824	13.21927101
825	13.21646237
826	13.21534634
827	13.21228807
828	13.2090407
829	13.20663108
830	13.20406516
831	13.20079512
832	13.19656202
833	13.19427811
834	13.19257236
835	13.18934739
836	13.18762205
837	13.18595903
838	13.18363503
839	13.18161332
840	13.18024557
841	13.17770408
842	13.17338514
843	13.17024314
844	13.1689447
845	13.16734085
846	13.16528227
847	13.16187804
848	13.15947109
849	13.15648691
850	13.15522862
851	13.15395188
852	13.15031036
853	13.1472915
854	13.14469012
855	13.14234508
856	13.14018202
857	13.13877832
858	13.13657486
859	13.13499349
860	13.13335923
861	13.13240746
862	13.13034638
863	13.12853477
864	13.12482703
865	13.12187059
866	13.120584
867	13.11966924
868	13.11843914
869	13.11576522
870	13.11272923
871	13.10922275
872	13.10761535
873	13.10540609
874	13.10323476
875	13.09966779
876	13.09814633
877	13.09588812
878	13.09228654
879	13.09102815
880	13.08939696
881	13.08814888
882	13.08596187
883	13.08457504
884	13.08252818
885	13.08056755
886	13.07939299
887	13.07752562
888	13.07627843
889	13.07433902
890	13.07350541
891	13.07214428
892	13.07030923
893	13.06713607
894	13.06606006
895	13.06424818
896	13.06110682
897	13.05689487
898	13.05408712
899	13.05186473
900	13.04897907
901	13.04709069
902	13.04469169
903	13.04257631
904	13.04030455
905	13.03930536
906	13.03699857
907	13.03387518
908	13.03267703
909	13.02862446
910	13.02653478
911	13.02497855
912	13.02327562
913	13.01977306
914	13.01788099
915	13.01455984
916	13.01243542
917	13.01050073
918	13.00864674
919	13.00768454
920	13.00633981
921	13.00379448
922	13.00214179
923	12.99997946
924	12.99851696
925	12.99693627
926	12.99475191
927	12.99249449
928	12.99023014
929	12.98700267
930	12.98575933
931	12.98460557
932	12.98102962
933	12.97777962
934	12.97553363
935	12.97246608
936	12.97084328
937	12.96904308
938	12.96750231
939	12.96522328
940	12.96341433
941	12.96171226
942	12.96024995
943	12.95888182
944	12.95721358
945	12.95473684
946	12.95239253
947	12.9510989
948	12.94905633
949	12.94658245
950	12.94416604
951	12.94255525
952	12.94123589
953	12.93852025
954	12.93613781
955	12.93459464
956	12.93376256
957	12.93208748
958	12.92850665
959	12.92679893
960	12.92555392
961	12.92221787
962	12.9202809
963	12.91808584
964	12.91553858
965	12.91364183
966	12.91138076
967	12.90967401
968	12.90602015
969	12.90472334
970	12.90129576
971	12.90017392
972	12.89859191
973	12.89724722
974	12.89458542
975	12.89183103
976	12.88959247
977	12.88799941
978	12.88558753
979	12.88499462
980	12.88311717
981	12.88142703
982	12.87893834
983	12.87756131
984	12.87638789
985	12.8743228
986	12.87179779
987	12.86917971
988	12.86584851
989	12.86391252
990	12.86062837
991	12.85841557
992	12.85637236
993	12.85543521
994	12.85229847
995	12.84976115
996	12.84774676
997	12.84666085
998	12.84410764
999	12.84246754
